condition,repetition,hub,datasets_constant,actual_arrow,rows,row_sha256,mapped_row_sha256,cleanup_removed,offline_copy_verified
defaults,1,<CASE>/home/.cache/huggingface/hub,<CASE>/home/.cache/huggingface/datasets,<CASE>/home/.cache/huggingface/datasets/lhoestq___demo1/default/0.0.0/87ecf163bedca9d80598b528940a9c4f99e14c11/demo1-train.arrow,5,e9251fca40be9368e122fc7980f81f00f20dc76112c75ef02da5947715f72e39,f606ed27455958d8043245bc4a01dac76ae8950efda768a800f5c4242c3a586b,,
hf-home,1,<CASE>/hf/hub,<CASE>/hf/datasets,<CASE>/hf/datasets/lhoestq___demo1/default/0.0.0/87ecf163bedca9d80598b528940a9c4f99e14c11/demo1-train.arrow,5,e9251fca40be9368e122fc7980f81f00f20dc76112c75ef02da5947715f72e39,f606ed27455958d8043245bc4a01dac76ae8950efda768a800f5c4242c3a586b,,
datasets-only,1,<CASE>/home/.cache/huggingface/hub,<CASE>/arrow,<CASE>/arrow/lhoestq___demo1/default/0.0.0/87ecf163bedca9d80598b528940a9c4f99e14c11/demo1-train.arrow,5,e9251fca40be9368e122fc7980f81f00f20dc76112c75ef02da5947715f72e39,f606ed27455958d8043245bc4a01dac76ae8950efda768a800f5c4242c3a586b,,
hub-only,1,<CASE>/hub,<CASE>/home/.cache/huggingface/datasets,<CASE>/home/.cache/huggingface/datasets/lhoestq___demo1/default/0.0.0/87ecf163bedca9d80598b528940a9c4f99e14c11/demo1-train.arrow,5,e9251fca40be9368e122fc7980f81f00f20dc76112c75ef02da5947715f72e39,f606ed27455958d8043245bc4a01dac76ae8950efda768a800f5c4242c3a586b,,
split,1,<CASE>/hub,<CASE>/arrow,<CASE>/arrow/lhoestq___demo1/default/0.0.0/87ecf163bedca9d80598b528940a9c4f99e14c11/demo1-train.arrow,5,e9251fca40be9368e122fc7980f81f00f20dc76112c75ef02da5947715f72e39,f606ed27455958d8043245bc4a01dac76ae8950efda768a800f5c4242c3a586b,,
xdg,1,<CASE>/xdg/huggingface/hub,<CASE>/xdg/huggingface/datasets,<CASE>/xdg/huggingface/datasets/lhoestq___demo1/default/0.0.0/87ecf163bedca9d80598b528940a9c4f99e14c11/demo1-train.arrow,5,e9251fca40be9368e122fc7980f81f00f20dc76112c75ef02da5947715f72e39,f606ed27455958d8043245bc4a01dac76ae8950efda768a800f5c4242c3a586b,,
home-over-xdg,1,<CASE>/hf/hub,<CASE>/hf/datasets,<CASE>/hf/datasets/lhoestq___demo1/default/0.0.0/87ecf163bedca9d80598b528940a9c4f99e14c11/demo1-train.arrow,5,e9251fca40be9368e122fc7980f81f00f20dc76112c75ef02da5947715f72e39,f606ed27455958d8043245bc4a01dac76ae8950efda768a800f5c4242c3a586b,,
transformers-legacy,1,<CASE>/home/.cache/huggingface/hub,<CASE>/home/.cache/huggingface/datasets,<CASE>/home/.cache/huggingface/datasets/lhoestq___demo1/default/0.0.0/87ecf163bedca9d80598b528940a9c4f99e14c11/demo1-train.arrow,5,e9251fca40be9368e122fc7980f81f00f20dc76112c75ef02da5947715f72e39,f606ed27455958d8043245bc4a01dac76ae8950efda768a800f5c4242c3a586b,,
datasets-argument,1,<CASE>/hf/hub,<CASE>/arrow,<CASE>/explicit-arrow/lhoestq___demo1/default/0.0.0/87ecf163bedca9d80598b528940a9c4f99e14c11/demo1-train.arrow,5,e9251fca40be9368e122fc7980f81f00f20dc76112c75ef02da5947715f72e39,f606ed27455958d8043245bc4a01dac76ae8950efda768a800f5c4242c3a586b,,
config-argument,1,<CASE>/hf/hub,<CASE>/hf/datasets,<CASE>/hf/datasets/lhoestq___demo1/default/0.0.0/87ecf163bedca9d80598b528940a9c4f99e14c11/demo1-train.arrow,5,e9251fca40be9368e122fc7980f81f00f20dc76112c75ef02da5947715f72e39,f606ed27455958d8043245bc4a01dac76ae8950efda768a800f5c4242c3a586b,,
